alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,997.2,19.872,56.16,4.952,4.704,0,0,1,-0.114978328
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,998.2,19.872,56.16,4.952,4.704,0,0,1.012048193,-0.114727275
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,999.2,19.872,56.16,4.952,4.704,0,0,1.024096386,-0.114370407
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1000.2,19.872,56.16,4.952,4.704,0,0,1.036144578,-0.11393761
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1001.2,19.872,56.16,4.952,4.704,0,0,1.048192771,-0.11345476
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1002.2,19.872,56.16,4.952,4.704,0,0,1.060240964,-0.112944229
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1003.2,19.872,56.16,4.952,4.704,0,0,1.072289157,-0.112425331
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1004.2,19.872,56.16,4.952,4.704,0,0,1.084337349,-0.111914702
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1005.2,19.872,56.16,4.952,4.704,0,0,1.096385542,-0.111426647
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1006.2,19.872,56.16,4.952,4.704,0,0,1.108433735,-0.110973432
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1007.2,19.872,56.16,4.952,4.704,0,0,1.120481928,-0.110565553
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1008.2,19.872,56.16,4.952,4.704,0,0,1.13253012,-0.110211965
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1009.2,19.872,56.16,4.952,4.704,0,0,1.144578313,-0.109920284
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1010.2,19.872,56.16,4.952,4.704,0,0,1.156626506,-0.109696973
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1011.2,19.872,56.16,4.952,4.704,0,0,1.168674699,-0.109547497
