alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1,-0.105106209
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.012048193,-0.105565474
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.024096386,-0.106142843
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.036144578,-0.106837291
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.048192771,-0.107648621
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.060240964,-0.108577435
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.072289157,-0.109625108
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.084337349,-0.110793776
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.096385542,-0.11208634
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.108433735,-0.113506468
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.120481928,-0.115058619
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.13253012,-0.116748074
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.144578313,-0.118580976
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.156626506,-0.120564388
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.168674699,-0.122706369
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.180722892,-0.12501606
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.192771084,-0.127503804
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.204819277,-0.130181291
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.21686747,-0.133061745
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.228915663,-0.136160159
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.240963855,-0.139493622
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.253012048,-0.143081745
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.265060241,-0.146947271
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.277108434,-0.151116965
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.289156627,-0.155622972
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.301204819,-0.160505004
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.313253012,-0.165814049
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.325301205,-0.171619078
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.337349398,-0.178020006
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.34939759,-0.185174712
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.361445783,-0.193360462
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.373493976,-0.203127483
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.385542169,-0.215720917
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.397590361,-0.23426455
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.409638554,-0.265309952
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.421686747,-0.298990746
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.43373494,-0.29155802
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.445783133,-0.281061389
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.457831325,-0.283346465
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.469879518,-0.292635131
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.481927711,-0.305852014
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.493975904,-0.321887251
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.506024096,-0.340407887
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.518072289,-0.361414418
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.530120482,-0.38508231
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.542168675,-0.411705152
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.554216867,-0.441677971
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.56626506,-0.475499361
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.578313253,-0.51378481
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.590361446,-0.557288908
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.602409639,-0.606936492
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.614457831,-0.663864122
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.626506024,-0.729474366
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.638554217,-0.805506291
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.65060241,-0.894126596
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.662650602,-0.998046635
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.674698795,-1.120670913
0.983,22.53,0,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.686746988,-1.266281337
