alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1,-0.102907771
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.012048193,-0.104391904
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.024096386,-0.10579897
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.036144578,-0.107153502
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.048192771,-0.108477858
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.060240964,-0.109792547
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.072289157,-0.111116536
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.084337349,-0.112467512
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.096385542,-0.113862127
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.108433735,-0.115316216
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.120481928,-0.116845
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.13253012,-0.118463279
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.144578313,-0.120185608
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.156626506,-0.122026469
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.168674699,-0.124000444
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.180722892,-0.126122374
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.192771084,-0.128407535
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.204819277,-0.130871801
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.21686747,-0.133531829
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.228915663,-0.136405243
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.240963855,-0.139510838
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,0,1.253012048,-0.142868796
