alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1,-0.100342847
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.012048193,-0.092904054
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.024096386,-0.085912021
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.036144578,-0.079356037
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.048192771,-0.073226489
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.060240964,-0.067514856
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.072289157,-0.062213698
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.084337349,-0.057316654
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.096385542,-0.052818452
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.108433735,-0.048714919
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.120481928,-0.045003005
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.13253012,-0.041680811
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.144578313,-0.038747626
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.156626506,-0.036203976
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.168674699,-0.034051686
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.180722892,-0.032293943
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.192771084,-0.030935386
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.204819277,-0.029982199
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.21686747,-0.029442231
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.228915663,-0.029325123
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.240963855,-0.029642467
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.253012048,-0.030407983
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.265060241,-0.031637722
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.277108434,-0.03335031
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.289156627,-0.035567218
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.301204819,-0.03831308
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.313253012,-0.04161606
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.325301205,-0.045508276
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-3.3,24.41,69,6.08,5.78,0,0,1.337349398,-0.050026293
