alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1,-0.091565128
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.012048193,-0.09244759
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.024096386,-0.093405653
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.036144578,-0.094442305
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.048192771,-0.095560825
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.060240964,-0.0967648
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.072289157,-0.09805815
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.084337349,-0.09944515
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.096385542,-0.10093046
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.108433735,-0.102519153
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.120481928,-0.10421675
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.13253012,-0.106029256
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.144578313,-0.107963203
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.156626506,-0.110025698
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.168674699,-0.112224469
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.180722892,-0.11456793
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.192771084,-0.117065238
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.204819277,-0.11972637
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.21686747,-0.122562199
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.228915663,-0.125584585
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.240963855,-0.128806472
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.253012048,-0.132242006
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.265060241,-0.135906654
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.277108434,-0.139817347
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.289156627,-0.14399264
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.301204819,-0.148452891
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.313253012,-0.15322046
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.325301205,-0.158319937
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.337349398,-0.163778403
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.34939759,-0.169625722
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.361445783,-0.175894869
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.373493976,-0.182622311
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.385542169,-0.18984844
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.397590361,-0.197618057
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.409638554,-0.205980939
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.421686747,-0.214992478
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,0,0,1.43373494,-0.22471442
