alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1,-0.107232472
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.012048193,-0.107186595
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.024096386,-0.107277265
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.036144578,-0.107501757
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.048192771,-0.107858506
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.060240964,-0.108347042
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.072289157,-0.10896794
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.084337349,-0.10972279
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.096385542,-0.110614176
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.108433735,-0.111645679
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.120481928,-0.112821887
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.13253012,-0.114148423
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.144578313,-0.115631991
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.156626506,-0.117280432
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.168674699,-0.119102802
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.180722892,-0.121109474
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.192771084,-0.123312258
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.204819277,-0.12572455
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.21686747,-0.128361519
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.228915663,-0.131240339
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.240963855,-0.134380467
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.253012048,-0.137804011
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.265060241,-0.141536195
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.277108434,-0.145605979
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.289156627,-0.150046911
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.301204819,-0.154898347
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.313253012,-0.160207289
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.325301205,-0.166031305
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.337349398,-0.172443482
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.34939759,-0.179541422
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.361445783,-0.187464843
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.373493976,-0.196432884
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.385542169,-0.206830016
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.397590361,-0.219419377
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.409638554,-0.235880939
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.421686747,-0.259731227
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.43373494,-0.292267435
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.445783133,-0.310785018
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.457831325,-0.310130304
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.469879518,-0.314931596
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.481927711,-0.327698561
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.493975904,-0.345957101
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.506024096,-0.368502632
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.518072289,-0.395041578
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.530120482,-0.425749072
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.542168675,-0.461083632
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.554216867,-0.501726728
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.56626506,-0.54857954
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.578313253,-0.602791426
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.590361446,-0.665812117
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.602409639,-0.739467172
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.614457831,-0.826060043
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.626506024,-0.928506195
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.638554217,-1.050505419
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.65060241,-1.196756411
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.662650602,-1.373209117
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.674698795,-1.587327016
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.686746988,-1.848275144
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.698795181,-2.166823302
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.710843373,-2.554486969
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.722891566,-3.020910791
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.734939759,-3.567656038
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.746987952,-4.17580198
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.759036145,-4.786628681
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.771084337,-5.286156915
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.78313253,-5.528166885
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.795180723,-5.422381968
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.807228916,-5.015180698
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.819277108,-4.455197049
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.831325301,-3.901061049
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.843373494,-3.494562402
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.855421687,-3.425584554
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.86746988,-3.885392541
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.879518072,-3.957274075
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.891566265,-3.077330037
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.903614458,-2.333402097
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.915662651,-1.857127111
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.927710843,-1.537944465
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.939759036,-1.308940663
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.951807229,-1.136058355
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.963855422,-1.000885516
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.975903614,-0.892596676
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,1.987951807,-0.804344305
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2,-0.73154138
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.012048193,-0.670979189
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.024096386,-0.62034042
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.036144578,-0.577913199
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.048192771,-0.54241435
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.060240964,-0.512875711
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.072289157,-0.488568921
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.084337349,-0.468954924
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.096385542,-0.453650201
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.108433735,-0.442405019
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.120481928,-0.435090913
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.13253012,-0.431695962
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.144578313,-0.432327283
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.156626506,-0.437221044
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.168674699,-0.446761074
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.180722892,-0.461508121
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.192771084,-0.48224312
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.204819277,-0.510029622
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.21686747,-0.546303287
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.228915663,-0.593000425
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.240963855,-0.652744004
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.253012048,-0.729115561
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.265060241,-0.827057409
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.277108434,-0.953474851
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.289156627,-1.118148287
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.301204819,-1.335127409
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.313253012,-1.624872039
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.325301205,-2.017525769
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.337349398,-2.55781879
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.34939759,-3.31200622
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.361445783,-4.376210939
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.373493976,-5.880231103
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.385542169,-7.953029717
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.397590361,-10.46575937
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.409638554,-12.06846082
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.421686747,-10.9835141
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,1,5.78,0,0,2.43373494,-8.788163106
