alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,997.2,19.872,56.16,4.952,4.704,1,1,1,-0.965646491
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,998.2,19.872,56.16,4.952,4.704,1,1,1.012048193,-0.857590131
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,999.2,19.872,56.16,4.952,4.704,1,1,1.024096386,-0.766877463
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1000.2,19.872,56.16,4.952,4.704,1,1,1.036144578,-0.69019609
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1001.2,19.872,56.16,4.952,4.704,1,1,1.048192771,-0.624948046
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1002.2,19.872,56.16,4.952,4.704,1,1,1.060240964,-0.56908354
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1003.2,19.872,56.16,4.952,4.704,1,1,1.072289157,-0.520974812
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1004.2,19.872,56.16,4.952,4.704,1,1,1.084337349,-0.479320587
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1005.2,19.872,56.16,4.952,4.704,1,1,1.096385542,-0.443073592
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1006.2,19.872,56.16,4.952,4.704,1,1,1.108433735,-0.411385385
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1007.2,19.872,56.16,4.952,4.704,1,1,1.120481928,-0.383564164
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1008.2,19.872,56.16,4.952,4.704,1,1,1.13253012,-0.359042325
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1009.2,19.872,56.16,4.952,4.704,1,1,1.144578313,-0.337351376
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1010.2,19.872,56.16,4.952,4.704,1,1,1.156626506,-0.31810241
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1011.2,19.872,56.16,4.952,4.704,1,1,1.168674699,-0.300970834
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1012.2,19.872,56.16,4.952,4.704,1,1,1.180722892,-0.285684324
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1013.2,19.872,56.16,4.952,4.704,1,1,1.192771084,-0.272013293
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1014.2,19.872,56.16,4.952,4.704,1,1,1.204819277,-0.259763289
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1015.2,19.872,56.16,4.952,4.704,1,1,1.21686747,-0.248768904
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1016.2,19.872,56.16,4.952,4.704,1,1,1.228915663,-0.238888865
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1017.2,19.872,56.16,4.952,4.704,1,1,1.240963855,-0.230002055
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1018.2,19.872,56.16,4.952,4.704,1,1,1.253012048,-0.222004273
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1019.2,19.872,56.16,4.952,4.704,1,1,1.265060241,-0.214805584
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1020.2,19.872,56.16,4.952,4.704,1,1,1.277108434,-0.208328141
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1021.2,19.872,56.16,4.952,4.704,1,1,1.289156627,-0.202504385
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1022.2,19.872,56.16,4.952,4.704,1,1,1.301204819,-0.197275554
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1023.2,19.872,56.16,4.952,4.704,1,1,1.313253012,-0.192590441
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1024.2,19.872,56.16,4.952,4.704,1,1,1.325301205,-0.188404357
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1025.2,19.872,56.16,4.952,4.704,1,1,1.337349398,-0.184678264
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1026.2,19.872,56.16,4.952,4.704,1,1,1.34939759,-0.181378047
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1027.2,19.872,56.16,4.952,4.704,1,1,1.361445783,-0.178473893
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1028.2,19.872,56.16,4.952,4.704,1,1,1.373493976,-0.175939784
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1029.2,19.872,56.16,4.952,4.704,1,1,1.385542169,-0.173753048
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1030.2,19.872,56.16,4.952,4.704,1,1,1.397590361,-0.171894001
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1031.2,19.872,56.16,4.952,4.704,1,1,1.409638554,-0.17034563
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1032.2,19.872,56.16,4.952,4.704,1,1,1.421686747,-0.169093335
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1033.2,19.872,56.16,4.952,4.704,1,1,1.43373494,-0.168124714
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1034.2,19.872,56.16,4.952,4.704,1,1,1.445783133,-0.167429385
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1035.2,19.872,56.16,4.952,4.704,1,1,1.457831325,-0.166998842
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1036.2,19.872,56.16,4.952,4.704,1,1,1.469879518,-0.16682635
