alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1,-0.204558663
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.012048193,-0.1945707
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.024096386,-0.185573967
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.036144578,-0.17745245
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.048192771,-0.170106292
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.060240964,-0.163449263
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.072289157,-0.157406663
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.084337349,-0.151913593
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.096385542,-0.146913521
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.108433735,-0.142357079
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.120481928,-0.138201063
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.13253012,-0.134407591
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.144578313,-0.130943392
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.156626506,-0.127779209
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.168674699,-0.124889292
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.180722892,-0.122250968
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.192771084,-0.119844273
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.204819277,-0.117651649
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.21686747,-0.115657672
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.228915663,-0.113848836
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.240963855,-0.112213356
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.253012048,-0.110741014
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.265060241,-0.109423025
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.277108434,-0.108251926
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.289156627,-0.107221483
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.301204819,-0.106326629
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.313253012,-0.105563406
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.325301205,-0.10492893
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.337349398,-0.104421375
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.34939759,-0.104039967
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.361445783,-0.103785004
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.373493976,-0.103657884
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.385542169,-0.103661158
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.397590361,-0.103798609
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.409638554,-0.104075344
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.421686747,-0.104497922
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.43373494,-0.105074519
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.445783133,-0.105815119
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.457831325,-0.106731769
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,1,1.469879518,-0.10783888
