alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1,-0.161785202
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.012048193,-0.156678924
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.024096386,-0.15224807
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.036144578,-0.148427398
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.048192771,-0.145161581
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.060240964,-0.142403769
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.072289157,-0.140114428
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.084337349,-0.138260378
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.096385542,-0.136814024
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.108433735,-0.13575273
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.120481928,-0.135058328
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.13253012,-0.134716743
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.144578313,-0.134717725
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.156626506,-0.135054697
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.168674699,-0.135724714
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.180722892,-0.136728566
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.192771084,-0.138071073
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.204819277,-0.139761619
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.21686747,-0.141815099
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.228915663,-0.144253474
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.240963855,-0.147108386
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.253012048,-0.150425644
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.265060241,-0.154273163
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.277108434,-0.158755706
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.289156627,-0.164043728
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.301204819,-0.170433657
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.313253012,-0.178484065
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.325301205,-0.189353636
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.337349398,-0.205739409
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.34939759,-0.234817713
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.361445783,-0.29794327
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.373493976,-0.442159496
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.385542169,-0.537673958
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.397590361,-0.420197079
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.409638554,-0.34395969
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.421686747,-0.315838464
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.43373494,-0.308871752
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.445783133,-0.312073752
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.457831325,-0.321167595
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.469879518,-0.334372587
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.481927711,-0.35094045
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.493975904,-0.370610889
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.506024096,-0.393390808
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.518072289,-0.419460029
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.530120482,-0.449132328
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.542168675,-0.482843985
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.554216867,-0.521158456
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.56626506,-0.564782784
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.578313253,-0.614594666
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.590361446,-0.671681137
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.602409639,-0.737391336
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.614457831,-0.813407424
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.626506024,-0.901839568
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.638554217,-1.005353314
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.65060241,-1.127340816
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.662650602,-1.272151257
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.674698795,-1.445400217
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.686746988,-1.654381164
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.698795181,-1.908600593
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.710843373,-2.22043994
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.722891566,-2.605882743
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.734939759,-3.085059951
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.746987952,-3.681877128
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.759036145,-4.420767184
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.771084337,-5.315811394
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.78313253,-6.342438032
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.795180723,-7.381101371
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.807228916,-8.165413454
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.819277108,-8.394194775
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.831325301,-8.053157888
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.843373494,-7.459283188
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.855421687,-6.944749536
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.86746988,-6.699727915
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.879518072,-6.810834124
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.891566265,-7.311001533
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.903614458,-8.168847507
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.915662651,-9.184252323
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.927710843,-9.834790941
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.939759036,-9.537537955
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.951807229,-8.416649318
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.963855422,-7.065414947
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.975903614,-5.842893653
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,1,1,1,1.987951807,-4.84165524
