alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,997.2,19.872,56.16,4.952,4.704,0,1,1,-0.22422911
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,998.2,19.872,56.16,4.952,4.704,0,1,1.012048193,-0.216803789
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,999.2,19.872,56.16,4.952,4.704,0,1,1.024096386,-0.21002106
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1000.2,19.872,56.16,4.952,4.704,0,1,1.036144578,-0.203818997
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1001.2,19.872,56.16,4.952,4.704,0,1,1.048192771,-0.198142913
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1002.2,19.872,56.16,4.952,4.704,0,1,1.060240964,-0.192944446
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1003.2,19.872,56.16,4.952,4.704,0,1,1.072289157,-0.188180772
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1004.2,19.872,56.16,4.952,4.704,0,1,1.084337349,-0.183813927
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1005.2,19.872,56.16,4.952,4.704,0,1,1.096385542,-0.179810215
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1006.2,19.872,56.16,4.952,4.704,0,1,1.108433735,-0.176139704
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1007.2,19.872,56.16,4.952,4.704,0,1,1.120481928,-0.172775786
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1008.2,19.872,56.16,4.952,4.704,0,1,1.13253012,-0.169694791
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1009.2,19.872,56.16,4.952,4.704,0,1,1.144578313,-0.16687566
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1010.2,19.872,56.16,4.952,4.704,0,1,1.156626506,-0.164299655
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1011.2,19.872,56.16,4.952,4.704,0,1,1.168674699,-0.161950105
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1012.2,19.872,56.16,4.952,4.704,0,1,1.180722892,-0.159812191
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1013.2,19.872,56.16,4.952,4.704,0,1,1.192771084,-0.157872752
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1014.2,19.872,56.16,4.952,4.704,0,1,1.204819277,-0.156120116
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1015.2,19.872,56.16,4.952,4.704,0,1,1.21686747,-0.154543959
