alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1,-0.113052604
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.012048193,-0.112670611
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.024096386,-0.112135099
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.036144578,-0.11147253
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.048192771,-0.110706091
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.060240964,-0.109856125
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.072289157,-0.10894051
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.084337349,-0.107974986
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.096385542,-0.106973438
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.108433735,-0.10594814
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.120481928,-0.104909976
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.13253012,-0.103868624
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.144578313,-0.102832722
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.156626506,-0.10181002
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.168674699,-0.100807506
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.180722892,-0.099831524
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.192771084,-0.098887882
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.204819277,-0.097981948
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.21686747,-0.097118736
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.228915663,-0.096302992
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.240963855,-0.095539271
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.253012048,-0.094832013
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.265060241,-0.094185618
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.277108434,-0.093604519
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.289156627,-0.093093259
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.301204819,-0.092656568
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.313253012,-0.092299449
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.325301205,-0.092027266
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.337349398,-0.091845846
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.34939759,-0.091761593
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.361445783,-0.09178161
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.373493976,-0.091913848
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.385542169,-0.092167278
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.397590361,-0.092552088
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.409638554,-0.093079922
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.421686747,-0.093764162
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.43373494,-0.094620274
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.445783133,-0.09566622
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.457831325,-0.09692297
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.469879518,-0.098415127
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.481927711,-0.100171706
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.493975904,-0.102227113
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.506024096,-0.104622371
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.518072289,-0.107406682
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.530120482,-0.110639438
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.542168675,-0.114392809
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.554216867,-0.118755137
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.56626506,-0.123835414
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.578313253,-0.129769254
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.590361446,-0.136726976
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.602409639,-0.144924655
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.614457831,-0.154639483
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.626506024,-0.166231413
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.638554217,-0.180174212
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.65060241,-0.197100822
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.662650602,-0.217870991
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.674698795,-0.243674425
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.686746988,-0.276192072
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.698795181,-0.317855436
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.710843373,-0.372276601
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.722891566,-0.444986295
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.734939759,-0.544749744
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.746987952,-0.68601154
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.759036145,-0.893637908
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.771084337,-1.212489624
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.78313253,-1.727179626
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.795180723,-2.601006217
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.807228916,-4.126473394
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.819277108,-6.534162698
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.831325301,-8.092999832
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.843373494,-6.170439933
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.855421687,-3.932575422
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.86746988,-2.553850833
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.879518072,-1.753043374
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.891566265,-1.270648151
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.903614458,-0.964761792
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.915662651,-0.761140554
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.927710843,-0.619756984
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.939759036,-0.518022917
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.951807229,-0.442588221
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.963855422,-0.385219875
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.975903614,-0.340644719
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,1.987951807,-0.305370941
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2,-0.277017689
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.012048193,-0.253919324
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.024096386,-0.234883859
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.036144578,-0.219041008
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.048192771,-0.205743995
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.060240964,-0.194504537
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.072289157,-0.18494886
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.084337349,-0.176787339
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.096385542,-0.169793195
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.108433735,-0.163787292
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.120481928,-0.158627155
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.13253012,-0.15419895
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.144578313,-0.150411573
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.156626506,-0.147192279
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.168674699,-0.144483467
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.180722892,-0.142240341
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.192771084,-0.14042927
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.204819277,-0.139026747
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.21686747,-0.138018861
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.228915663,-0.137401303
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.240963855,-0.137179908
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.253012048,-0.137371862
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.265060241,-0.138007716
0.983,10,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,0,1,2.277108434,-0.139134515
