alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1,-0.314518113
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.012048193,-0.303687864
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.024096386,-0.293428505
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.036144578,-0.283769879
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.048192771,-0.274728482
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.060240964,-0.266310775
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.072289157,-0.25851582
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.084337349,-0.251337371
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.096385542,-0.244765569
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.108433735,-0.238788319
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.120481928,-0.233392427
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.13253012,-0.228564578
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.144578313,-0.224292196
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.156626506,-0.220564254
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.168674699,-0.21737208
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.180722892,-0.214710233
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.192771084,-0.212577506
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.204819277,-0.210978179
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.21686747,-0.209923641
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.228915663,-0.209434605
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.240963855,-0.209544224
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.253012048,-0.210302611
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.265060241,-0.211783594
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.277108434,-0.214095084
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.289156627,-0.21739546
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.301204819,-0.221920365
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.313253012,-0.228028092
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.325301205,-0.23627981
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.337349398,-0.247588354
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.34939759,-0.263510353
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.361445783,-0.286859588
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.373493976,-0.323101941
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.385542169,-0.383840315
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.397590361,-0.496466478
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.409638554,-0.732903616
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.421686747,-1.274964559
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.43373494,-2.106948802
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.445783133,-1.771727587
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.457831325,-1.043969628
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.469879518,-0.693337699
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.481927711,-0.535572871
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.493975904,-0.458711482
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.506024096,-0.41944006
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.518072289,-0.399929345
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.530120482,-0.392062498
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.542168675,-0.391823558
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.554216867,-0.397111817
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.56626506,-0.406806348
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.578313253,-0.420332326
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.590361446,-0.437447285
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.602409639,-0.458131744
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.614457831,-0.482533226
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.626506024,-0.510939886
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.638554217,-0.543772188
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.65060241,-0.581587019
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.662650602,-0.625091737
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.674698795,-0.675167393
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.686746988,-0.732901498
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.698795181,-0.799631543
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.710843373,-0.877001051
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.722891566,-0.967030383
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.734939759,-1.072204527
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.746987952,-1.195579321
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.759036145,-1.340905099
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.771084337,-1.512760774
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.78313253,-1.716678614
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.795180723,-1.959213972
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.807228916,-2.247863845
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.819277108,-2.590644289
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.831325301,-2.994972338
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.843373494,-3.465240153
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.855421687,-3.998163684
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.86746988,-4.574973149
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.879518072,-5.150948272
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.891566265,-5.648015024
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.903614458,-5.965132265
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.915662651,-6.019841146
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.927710843,-5.799941462
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.939759036,-5.371727562
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.951807229,-4.834938915
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.963855422,-4.274794861
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.975903614,-3.744153453
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,1.987951807,-3.267883031
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2,-2.853155063
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.012048193,-2.497887403
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.024096386,-2.195994452
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.036144578,-1.940215303
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.048192771,-1.72347402
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.060240964,-1.539442987
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.072289157,-1.382705811
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.084337349,-1.248735189
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.096385542,-1.133796328
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.108433735,-1.034829828
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.120481928,-0.949338389
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.13253012,-0.875287011
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.144578313,-0.811019274
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.156626506,-0.755189172
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.168674699,-0.706706831
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.180722892,-0.664696188
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.192771084,-0.628462939
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.204819277,-0.597471446
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.21686747,-0.571329812
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.228915663,-0.549782917
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.240963855,-0.532713928
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.253012048,-0.520155768
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.265060241,-0.512315419
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.277108434,-0.50961606
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,15,-2.8,24.41,69,6.08,5.78,0,1,2.289156627,-0.512765529
