alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,997.2,19.872,56.16,4.952,4.704,1,0,1,-0.25774563
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,998.2,19.872,56.16,4.952,4.704,1,0,1.012048193,-0.244440585
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,999.2,19.872,56.16,4.952,4.704,1,0,1.024096386,-0.232524811
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1000.2,19.872,56.16,4.952,4.704,1,0,1.036144578,-0.2218299
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1001.2,19.872,56.16,4.952,4.704,1,0,1.048192771,-0.212212157
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1002.2,19.872,56.16,4.952,4.704,1,0,1.060240964,-0.203548481
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1003.2,19.872,56.16,4.952,4.704,1,0,1.072289157,-0.195733017
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1004.2,19.872,56.16,4.952,4.704,1,0,1.084337349,-0.188674416
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1005.2,19.872,56.16,4.952,4.704,1,0,1.096385542,-0.182293576
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1006.2,19.872,56.16,4.952,4.704,1,0,1.108433735,-0.176521786
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1007.2,19.872,56.16,4.952,4.704,1,0,1.120481928,-0.171299182
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1008.2,19.872,56.16,4.952,4.704,1,0,1.13253012,-0.16657347
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1009.2,19.872,56.16,4.952,4.704,1,0,1.144578313,-0.162298848
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1010.2,19.872,56.16,4.952,4.704,1,0,1.156626506,-0.158435109
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1011.2,19.872,56.16,4.952,4.704,1,0,1.168674699,-0.154946891
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1012.2,19.872,56.16,4.952,4.704,1,0,1.180722892,-0.151803028
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1013.2,19.872,56.16,4.952,4.704,1,0,1.192771084,-0.148976019
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1014.2,19.872,56.16,4.952,4.704,1,0,1.204819277,-0.146441559
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1015.2,19.872,56.16,4.952,4.704,1,0,1.21686747,-0.144178155
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1016.2,19.872,56.16,4.952,4.704,1,0,1.228915663,-0.142166785
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1017.2,19.872,56.16,4.952,4.704,1,0,1.240963855,-0.140390614
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1018.2,19.872,56.16,4.952,4.704,1,0,1.253012048,-0.138834747
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1019.2,19.872,56.16,4.952,4.704,1,0,1.265060241,-0.137486015
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1020.2,19.872,56.16,4.952,4.704,1,0,1.277108434,-0.136332796
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1021.2,19.872,56.16,4.952,4.704,1,0,1.289156627,-0.135364854
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1022.2,19.872,56.16,4.952,4.704,1,0,1.301204819,-0.134573205
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1023.2,19.872,56.16,4.952,4.704,1,0,1.313253012,-0.133949999
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1024.2,19.872,56.16,4.952,4.704,1,0,1.325301205,-0.13348842
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1025.2,19.872,56.16,4.952,4.704,1,0,1.337349398,-0.1331826
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1026.2,19.872,56.16,4.952,4.704,1,0,1.34939759,-0.13302754
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1027.2,19.872,56.16,4.952,4.704,1,0,1.361445783,-0.133019054
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1028.2,19.872,56.16,4.952,4.704,1,0,1.373493976,-0.133153709
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1029.2,19.872,56.16,4.952,4.704,1,0,1.385542169,-0.133428785
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1030.2,19.872,56.16,4.952,4.704,1,0,1.397590361,-0.133842237
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1031.2,19.872,56.16,4.952,4.704,1,0,1.409638554,-0.134392666
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1032.2,19.872,56.16,4.952,4.704,1,0,1.421686747,-0.135079299
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1033.2,19.872,56.16,4.952,4.704,1,0,1.43373494,-0.135901974
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1034.2,19.872,56.16,4.952,4.704,1,0,1.445783133,-0.136861134
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1035.2,19.872,56.16,4.952,4.704,1,0,1.457831325,-0.137957823
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1036.2,19.872,56.16,4.952,4.704,1,0,1.469879518,-0.139193702
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1037.2,19.872,56.16,4.952,4.704,1,0,1.481927711,-0.140571053
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1038.2,19.872,56.16,4.952,4.704,1,0,1.493975904,-0.142092817
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1039.2,19.872,56.16,4.952,4.704,1,0,1.506024096,-0.143762622
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1040.2,19.872,56.16,4.952,4.704,1,0,1.518072289,-0.145584833
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1041.2,19.872,56.16,4.952,4.704,1,0,1.530120482,-0.147564621
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1042.2,19.872,56.16,4.952,4.704,1,0,1.542168675,-0.149708047
0.8,18.336,7.408,47.664,21.2,41.536,2.2,21.088,28.8,1043.2,19.872,56.16,4.952,4.704,1,0,1.554216867,-0.152022171
