alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1,-0.121212233
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.012048193,-0.119519837
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.024096386,-0.11812272
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.036144578,-0.116996477
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.048192771,-0.116120424
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.060240964,-0.115477126
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.072289157,-0.115052011
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.084337349,-0.114833044
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.096385542,-0.11481046
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.108433735,-0.114976544
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.120481928,-0.115325458
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.13253012,-0.115853095
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.144578313,-0.116556977
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.156626506,-0.11743618
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.168674699,-0.118491291
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.180722892,-0.119724393
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.192771084,-0.12113909
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.204819277,-0.122740559
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.21686747,-0.124535654
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.228915663,-0.126533052
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.240963855,-0.12874347
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.253012048,-0.131179972
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.265060241,-0.133858377
0.983,22.53,9.1,58.56,15,51.03,2.7,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.277108434,-0.136797847
