alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1,-0.119040974
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.012048193,-0.117603151
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.024096386,-0.116434158
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.036144578,-0.115514096
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.048192771,-0.114826169
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.060240964,-0.114356309
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.072289157,-0.114092877
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.084337349,-0.114026406
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.096385542,-0.114149389
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.108433735,-0.114456111
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.120481928,-0.114942506
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.13253012,-0.115606053
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.144578313,-0.116445691
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.156626506,-0.11746177
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.168674699,-0.118656016
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.180722892,-0.120031529
0.983,22.53,9.1,58.56,26.04,51.03,0.1,25.91,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.192771084,-0.121592812
