alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1,-0.714389282
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.012048193,-0.808268033
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.024096386,-0.921480594
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.036144578,-1.059234479
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.048192771,-1.228415366
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.060240964,-1.438152354
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.072289157,-1.700512873
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.084337349,-2.031234187
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.096385542,-2.450146409
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.108433735,-2.980292145
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.120481928,-3.64319774
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.13253012,-4.444518427
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.144578313,-5.33994468
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.156626506,-6.177915379
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.168674699,-6.677606882
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.180722892,-6.594999436
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.192771084,-5.987913946
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.204819277,-5.143193133
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.21686747,-4.301311826
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.228915663,-3.570107756
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.240963855,-2.972460403
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.253012048,-2.496353409
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.265060241,-2.12038061
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.277108434,-1.823651899
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.289156627,-1.588737507
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.301204819,-1.401975326
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.313253012,-1.252947075
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.325301205,-1.133803038
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.337349398,-1.038659437
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.34939759,-0.963120758
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.361445783,-0.903920907
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.373493976,-0.858661722
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.385542169,-0.825627088
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.397590361,-0.80365513
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.409638554,-0.792055872
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.421686747,-0.790566254
0.983,22.53,9.1,58.56,26.04,51.03,2.7,1,35.38,-2.8,24.41,69,6.08,5.78,1,0,1.43373494,-0.799338384
