alpha [mm],fx [mm],fy [mm],l [mm],lextension1 [mm],lh [mm],lr [mm],lv [mm],offset1 [mm],pr [mm],pr2 [mm],w [mm],wr [mm],wu [mm],Diode 1 state,Diode 2 state,Freq [GHz],"dB(S(1,1)) []"
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1,-0.106221068
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.012048193,-0.105538097
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.024096386,-0.105049431
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.036144578,-0.104745728
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.048192771,-0.104619148
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.060240964,-0.104663238
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.072289157,-0.104872838
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.084337349,-0.105244011
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.096385542,-0.105773993
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.108433735,-0.106461165
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.120481928,-0.10730505
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.13253012,-0.108306331
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.144578313,-0.109466905
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.156626506,-0.110789974
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.168674699,-0.112280181
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.180722892,-0.113943818
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.192771084,-0.115789128
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.204819277,-0.117826738
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.21686747,-0.120070297
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.228915663,-0.122537429
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.240963855,-0.125251174
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.253012048,-0.128242247
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.265060241,-0.131552674
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.277108434,-0.135241877
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.289156627,-0.139397295
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.301204819,-0.144153888
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.313253012,-0.149732114
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.325301205,-0.156517315
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.337349398,-0.165240441
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.34939759,-0.177434521
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.361445783,-0.196738893
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.373493976,-0.233109699
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.385542169,-0.315337032
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.397590361,-0.453924804
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.409638554,-0.38201033
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.421686747,-0.27207537
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.43373494,-0.233244934
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.445783133,-0.221871192
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.457831325,-0.220831355
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.469879518,-0.2245173
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.481927711,-0.230844344
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.493975904,-0.238947385
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.506024096,-0.248448776
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.518072289,-0.259192656
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.530120482,-0.271137284
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.542168675,-0.284307803
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.554216867,-0.2987747
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.56626506,-0.314644357
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.578313253,-0.332055997
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.590361446,-0.351182526
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.602409639,-0.372234306
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.614457831,-0.395465645
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.626506024,-0.421184332
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.638554217,-0.44976503
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.65060241,-0.48166792
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.662650602,-0.517464846
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.674698795,-0.557876528
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.686746988,-0.603826568
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.698795181,-0.656521707
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.710843373,-0.717574255
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.722891566,-0.789194501
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.734939759,-0.874503312
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.746987952,-0.978059219
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.759036145,-1.106785212
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.771084337,-1.271677644
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.78313253,-1.491132582
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.795180723,-1.797833702
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.807228916,-2.254055546
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.819277108,-2.988459975
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.831325301,-4.29264961
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.843373494,-6.902514527
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.855421687,-12.92264432
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.86746988,-15.67939246
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.879518072,-8.393655752
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.891566265,-5.421558004
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.903614458,-4.121078278
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.915662651,-3.527825111
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.927710843,-3.271860528
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.939759036,-3.192687668
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.951807229,-3.211803848
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.963855422,-3.285241735
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.975903614,-3.384333736
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,1.987951807,-3.487578908
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,2,-3.577466281
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,2.012048193,-3.639787878
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,2.024096386,-3.66416945
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,2.036144578,-3.644892305
0.983,22.53,9.1,58.56,26.04,51.03,2.7,25.91,35.38,-2.8,24.41,60,6.08,5.78,1,0,2.048192771,-3.58127233
